model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
Qwen/Qwen2.5-14B,pubmed_qa,ID,,floor_sum,reference baseline,-0.3335,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,floor_ppl,reference baseline,0.0219,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,floor_min,reference baseline,-0.204,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,fair_floor,reference baseline,-0.204,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,saplma,reference baseline,0.7205,0.0047,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,uniform,this project,0.6988,0.0082,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,attention,this project,0.6852,0.0185,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,wmsp_norm,this project,0.2923,0.1566,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,wmsp_shrink2,this project,0.4703,0.0288,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,ID,,wmsp_shrink10,this project,0.3514,0.0401,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,floor_sum,reference baseline,-0.3335,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,floor_ppl,reference baseline,0.0219,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,floor_min,reference baseline,-0.204,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,fair_floor,reference baseline,-0.204,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,saplma,reference baseline,0.5001,0.0071,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,uniform,this project,0.4185,0.0052,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,attention,this project,0.3981,0.0061,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,wmsp_norm,this project,0.0147,0.1184,3,,corrected-span master,40,yes
