workstream,method,param,rung,eval,prr,n_seeds,mode,source_csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,asqa,0.2127,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,cnn_dailymail,0.1170,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,expertqa,0.0036,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,factscore,0.1815,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,med_quad,0.0851,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,pubmed_qa,0.2117,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,samsum,0.0762,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,1ds-Diff-long,xsum,0.1097,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,asqa,0.2592,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,cnn_dailymail,0.1131,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,expertqa,0.0956,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,factscore,0.2614,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,med_quad,0.1522,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,pubmed_qa,0.1317,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
