model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,floor_sum,reference baseline,0.3696,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,floor_ppl,reference baseline,-0.1636,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,floor_min,reference baseline,0.4075,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,fair_floor,reference baseline,0.4075,0.0,0,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,saplma,reference baseline,0.2686,0.0275,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,uniform,this project,0.1524,0.0767,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,attention,this project,0.1468,0.1049,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_norm,this project,-0.1169,0.0913,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink1_5,this project,-0.0757,0.0697,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink2,this project,-0.0404,0.082,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,VERDICT:bestw_vs_fairfloor,verdict,-0.4299,,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,VERDICT:bestw_vs_bestpooler,verdict,-0.205,,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,SameTask-long,med_quad:900+asqa:900,VERDICT:attention_vs_fairfloor,verdict,-0.2784,,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,0.3696,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,-0.1636,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,0.4075,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,0.4075,0.0,0,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.2731,0.1085,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,uniform,this project,0.1459,0.2513,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,attention,this project,0.2303,0.2207,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_norm,this project,-0.3105,0.0913,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,-0.0596,0.0959,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2,this project,-0.0637,0.0627,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,-0.4063,,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,-0.2804,,3,,corrected-span master,40,yes
google/gemma-2-9b,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,-0.1259,,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_sum,reference baseline,-0.2129,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_ppl,reference baseline,-0.2128,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_min,reference baseline,-0.037,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,fair_floor,reference baseline,-0.037,0.0,0,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,saplma,reference baseline,0.1141,0.0699,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,uniform,this project,0.0892,0.0876,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,attention,this project,0.0499,0.0519,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_norm,this project,-0.0517,0.0691,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink1_5,this project,-0.1007,0.0127,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink2,this project,-0.1256,0.0373,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_fairfloor,verdict,0.0165,,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_bestpooler,verdict,-0.1525,,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:attention_vs_fairfloor,verdict,0.0963,,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,-0.2129,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,-0.2128,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,-0.037,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,-0.037,0.0,0,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.3015,0.0242,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,uniform,this project,0.2112,0.0347,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,attention,this project,0.1753,0.0063,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_norm,this project,0.0753,0.0074,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,0.0535,0.0163,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2,this project,0.0323,0.0347,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,0.1193,,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,-0.2057,,3,,corrected-span master,40,yes
google/gemma-2-9b,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,0.2727,,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_sum,reference baseline,0.0115,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_ppl,reference baseline,0.1502,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_min,reference baseline,0.1157,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,fair_floor,reference baseline,0.1157,0.0,0,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,saplma,reference baseline,0.0289,0.0385,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,uniform,this project,0.0218,0.0293,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,attention,this project,0.1013,0.0474,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_norm,this project,0.062,0.0349,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink1_5,this project,0.1106,0.0184,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink2,this project,0.1111,0.02,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_fairfloor,verdict,0.0221,,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_bestpooler,verdict,-0.0178,,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:attention_vs_fairfloor,verdict,0.0399,,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,0.0115,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,0.1502,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,0.1157,0.0,3,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,0.1157,0.0,0,,corrected-span master,40,yes
google/gemma-2-9b,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.2591,0.017,3,,corrected-span master,40,yes
